證券代號,股本
2002,1577.3128996
2006,73.0213818
2007,53.0651613
2008,19.0852293
2009,35.9622165
2010,64.765539
2012,30.21627
2013,20.0
2014,143.5544446
2015,58.1599424
2017,44.6874691
2020,26.703132
2022,33.7168138
2023,187.6240214
2024,9.75
2025,17.2660536
2027,258.4260615
2028,32.57148
2029,32.118
2030,28.0526027
2031,32.1146341
2032,13.0521545
2033,8.0694536
2034,52.8995589
2038,19.4134303
2049,35.379224
2059,9.5297072
2062,19.9994152
2069,16.6386836
2072,19.2
2101,73.3934904
2102,47.3329207
2103,82.5709978
2104,98.4733625
2105,324.1415536
2106,95.489
2107,30.35934
2108,49.2416659
2109,27.9349134
2114,7.7991707
2115,10.4373163
2201,107.0001251
2204,55.3620342
2206,78.3675604
2207,55.7102768
2208,127.4539449
2211,41.7091463
2227,30.0
2228,7.9779692
2231,13.593187
2233,6.0288089
2236,6.1401689
2239,11.7712593
2241,10.4602306
2243,6.9373596
2247,8.0708735
2248,4.76
2250,3.6388226
2254,6.390768
2258,175.05919
2301,231.6775763
2302,16.6302881
2303,1257.8524619
2305,20.5660827
2308,259.7543329
2312,150.5485211
2313,119.1820589
2314,10.6126422
2316,18.2740536
2317,1400.3403199
2321,3.0271929
2323,108.9348328
2324,440.7146625
2327,51.8241455
2328,51.8346282
2329,65.8976333
2330,2593.2524521
2331,55.7402968
2332,60.2242373
2337,193.1082818
2338,36.6849183
2340,43.8622846
2342,15.7524744
2344,450.0000193
2345,56.1117897
2347,166.7946968
2348,18.1898853
2349,69.3679663
2351,18.2140249
2352,158.0506505
2353,304.7853828
2354,141.4485192
2355,39.749542
2356,358.7475066
2357,74.276028
2359,17.1471052
2360,42.5245742
2362,62.2263
2363,51.4988161
2364,5.238971
2365,22.1528496
2367,70.6253175
2368,51.0529876
2369,38.0102344
2371,215.0834851
2373,23.6202518
2374,33.6575533
2375,10.8675334
2376,66.9888886
2377,84.4856199
2379,51.5512641
2380,6.0
2382,386.2627432
